Image  License  Source

IMAPGUI.svg  [1] clipart\computer\icons\bb_mail.svg
IMAPGUInew.svg  [1] clipart\computer\icons\bb_mail_new.svg
MediaPlayer.svg  [1] clipart\computer\icons\bb_mov_.svg
Notepad.svg  [1] clipart\computer\icons\bb_txt_.svg
OberonDisplay.bmp  [0] www.oberon.ethz.ch
PET.svg  [1] clipart\animals\bugs\bee1_mimooh_01.svg
PETvariant.svg  [1] clipart\animals\bugs\bee2_mimooh_01.svg
WebBrowser.svg  [1] clipart\computer\icons\etiquette-theme\web-browser.svg
WMArchives.svg  [1] clipart\computer\icons\bb_pckg_.svg
WMCDRecorder.svg  [1] clipart\computer\etiquette_cd-rom_01.svg
WMDialogsExclamationMark.svg  [1] clipart\computer\buttons\tasto_10_architetto_franc_01.svg
WMDialogsQuestionMark.svg  [1] clipart\computer\buttons\tasto_9_architetto_franc_01.svg
WMEventLog.svg  [1] clipart\sign_and_symbols\eye_01.svg
WMFileManager.svg  [1] clipart\computer\icons\etiquette-theme\folder.svg
WMFTPClient.svg  [1] clipart\computer\icons\etiquette-theme\gnome-fs-network.svg
WMJoysticks.svg  [1] clipart\computer\jostick_black_red_petri_01.svg
WMKernelLog.svg  [1] clipart\tools\ruota_denata_architetto_01.svg
WMPartitions.svg  [1] clipart\computer\icons\etiquette-theme\gnome-dev-harddisk.svg
WMPerfmon.svg  [1] clipart\computer\icons\etiquette-theme\procman.svg
WMPlayer.svg  [1] clipart\computer\icons\bb_music_.svg
WMScribble.svg  [1] clipart\office\feather.svg
WMSearchTool.svg  [1] clipart\office\magnifying_glass_teudimu_01.svg
WMShell.svg  [1] clipart\computer\icons\etiquette-theme\gnome-terminal.svg
WMTCPTracker.svg  [1] clipart\sign_and_symbols\traffic_light_dan_gerhar_01.svg
WMTextTool.svg  [1] clipart\computer\icons\etiquette-theme\gnome-graphics.svg
WMTrapWriter.svg [1] clipart\computer\icons\lightning_icon_benji_par_01.svg
WMUsbInfo.svg [1] clipart\computer\icons\usb_memory_stick_01.svg
WMV24Component.svg  [1] clipart\office\telephone\phone.svg

[0] Unknown license
[1] Public Domain, www.openclipart.org, library version 0.18
